False Positive Rate(%), False Negative Rate(%), Thresholds
0.0, 1.0, inf
0.0, 0.99, 1.1116256713867188
0.0, 0.94, 0.8513042330741882
0.01, 0.94, 0.8259040117263794
0.01, 0.72, 0.46606042981147766
0.02, 0.72, 0.4438772201538086
0.02, 0.6599999999999999, 0.3739805817604065
0.03, 0.6599999999999999, 0.37239429354667664
0.03, 0.65, 0.37022197246551514
0.04, 0.65, 0.36276641488075256
0.04, 0.55, 0.2988545000553131
0.05, 0.55, 0.2901318669319153
0.05, 0.49, 0.2674791216850281
0.07, 0.49, 0.2504522502422333
0.07, 0.43999999999999995, 0.2281242460012436
0.08, 0.43999999999999995, 0.22381243109703064
0.08, 0.43000000000000005, 0.22240784764289856
0.11, 0.43000000000000005, 0.2194012850522995
0.11, 0.41000000000000003, 0.20562681555747986
0.13, 0.41000000000000003, 0.19830238819122314
0.13, 0.38, 0.190408855676651
0.14, 0.38, 0.18963158130645752
0.14, 0.37, 0.18747247755527496
0.16, 0.37, 0.18568983674049377
0.16, 0.36, 0.1839783489704132
0.17, 0.36, 0.1828189492225647
0.17, 0.26, 0.15989531576633453
0.19, 0.26, 0.15648844838142395
0.19, 0.25, 0.15576300024986267
0.2, 0.25, 0.15526922047138214
0.2, 0.20999999999999996, 0.14787450432777405
0.22, 0.20999999999999996, 0.14117075502872467
0.22, 0.18999999999999995, 0.13801482319831848
0.24, 0.18999999999999995, 0.13428503274917603
0.24, 0.18000000000000005, 0.1311037689447403
0.25, 0.18000000000000005, 0.13089598715305328
0.25, 0.16000000000000003, 0.1304655522108078
0.27, 0.16000000000000003, 0.12893468141555786
0.27, 0.15000000000000002, 0.1285967379808426
0.34, 0.15000000000000002, 0.12115317583084106
0.34, 0.14, 0.11887159198522568
0.35, 0.14, 0.1170949637889862
0.35, 0.13, 0.11593655496835709
0.36, 0.13, 0.11518511921167374
0.36, 0.12, 0.11497700959444046
0.37, 0.12, 0.11335767060518265
0.37, 0.09999999999999998, 0.1122480109333992
0.39, 0.09999999999999998, 0.10661542415618896
0.39, 0.08999999999999997, 0.10650981217622757
0.44, 0.08999999999999997, 0.10073915868997574
0.44, 0.07999999999999996, 0.09963101148605347
0.48, 0.07999999999999996, 0.0933716669678688
0.48, 0.06999999999999995, 0.0916614904999733
0.5, 0.06999999999999995, 0.09025132656097412
0.5, 0.050000000000000044, 0.08830396831035614
0.51, 0.050000000000000044, 0.0868559330701828
0.51, 0.040000000000000036, 0.08590026944875717
0.55, 0.040000000000000036, 0.08115245401859283
0.55, 0.030000000000000027, 0.0799003392457962
0.62, 0.030000000000000027, 0.07550272345542908
0.62, 0.020000000000000018, 0.07531958818435669
0.65, 0.020000000000000018, 0.0706796944141388
0.65, 0.010000000000000009, 0.07049981504678726
0.87, 0.010000000000000009, 0.04998988285660744
0.87, 0.0, 0.046003714203834534
1.0, 0.0, 0.02297789603471756
