False Positive Rate(%), False Negative Rate(%), Thresholds
0.0, 1.0, inf
0.0, 0.99, 1.4071077108383179
0.0, 0.95, 1.1502385139465332
0.02, 0.95, 1.035376787185669
0.02, 0.9, 0.9257099628448486
0.03, 0.9, 0.9147639274597168
0.03, 0.88, 0.8756091594696045
0.04, 0.88, 0.8655861020088196
0.04, 0.86, 0.7746496796607971
0.05, 0.86, 0.7737189531326294
0.05, 0.78, 0.5990358591079712
0.06, 0.78, 0.5912928581237793
0.06, 0.76, 0.5694778561592102
0.07, 0.76, 0.5604889988899231
0.07, 0.6699999999999999, 0.4751843512058258
0.08, 0.6699999999999999, 0.4739764332771301
0.08, 0.63, 0.4501184821128845
0.09, 0.63, 0.4459773004055023
0.09, 0.5800000000000001, 0.4174500107765198
0.1, 0.5800000000000001, 0.4096055328845978
0.1, 0.54, 0.38704970479011536
0.11, 0.54, 0.36709630489349365
0.11, 0.5, 0.30227217078208923
0.12, 0.5, 0.28252077102661133
0.12, 0.41000000000000003, 0.23788413405418396
0.14, 0.41000000000000003, 0.23088963329792023
0.14, 0.39, 0.22569099068641663
0.15, 0.39, 0.2233545333147049
0.15, 0.37, 0.2141975313425064
0.16, 0.37, 0.2104521542787552
0.16, 0.35, 0.20572622120380402
0.17, 0.35, 0.19424045085906982
0.17, 0.31999999999999995, 0.19132164120674133
0.18, 0.31999999999999995, 0.19048380851745605
0.18, 0.31000000000000005, 0.18823474645614624
0.19, 0.31000000000000005, 0.18419860303401947
0.19, 0.30000000000000004, 0.18298804759979248
0.2, 0.30000000000000004, 0.18266183137893677
0.2, 0.29000000000000004, 0.18185478448867798
0.22, 0.29000000000000004, 0.18007709085941315
0.22, 0.28, 0.17663252353668213
0.23, 0.28, 0.17473329603672028
0.23, 0.27, 0.17369399964809418
0.24, 0.27, 0.17335085570812225
0.24, 0.25, 0.1660127490758896
0.26, 0.25, 0.16159237921237946
0.26, 0.20999999999999996, 0.15879729390144348
0.27, 0.20999999999999996, 0.15815766155719757
0.27, 0.19999999999999996, 0.15788348019123077
0.33, 0.19999999999999996, 0.1467619240283966
0.33, 0.18999999999999995, 0.14649426937103271
0.37, 0.18999999999999995, 0.13995316624641418
0.37, 0.17000000000000004, 0.1340620219707489
0.38, 0.17000000000000004, 0.13404959440231323
0.38, 0.16000000000000003, 0.1313951164484024
0.39, 0.16000000000000003, 0.12947118282318115
0.39, 0.13, 0.12448817491531372
0.41, 0.13, 0.12078772485256195
0.41, 0.12, 0.1174033135175705
0.43, 0.12, 0.1154460683465004
0.43, 0.10999999999999999, 0.11395689100027084
0.44, 0.10999999999999999, 0.11135951429605484
0.44, 0.09999999999999998, 0.1081981360912323
0.46, 0.09999999999999998, 0.10303624719381332
0.46, 0.08999999999999997, 0.10194163024425507
0.55, 0.08999999999999997, 0.08314792811870575
0.55, 0.07999999999999996, 0.0803457722067833
0.56, 0.07999999999999996, 0.08015719801187515
0.56, 0.06999999999999995, 0.07897543162107468
0.59, 0.06999999999999995, 0.07578930258750916
0.59, 0.06000000000000005, 0.07380342483520508
0.63, 0.06000000000000005, 0.07064283639192581
0.63, 0.050000000000000044, 0.0701037123799324
0.81, 0.050000000000000044, 0.0514216274023056
0.81, 0.020000000000000018, 0.048155371099710464
0.91, 0.020000000000000018, 0.03995753452181816
0.91, 0.010000000000000009, 0.03883142024278641
0.94, 0.010000000000000009, 0.03733878955245018
0.94, 0.0, 0.03732742741703987
1.0, 0.0, 0.02801625058054924
