False Positive Rate(%), False Negative Rate(%), Thresholds
0.0, 1.0, inf
0.0, 0.99, 0.6986885666847229
0.0, 0.98, 0.6058778762817383
0.01, 0.98, 0.5901536345481873
0.01, 0.71, 0.35066527128219604
0.02, 0.71, 0.3493881821632385
0.02, 0.49, 0.27953627705574036
0.03, 0.49, 0.2788831889629364
0.03, 0.44999999999999996, 0.26805442571640015
0.04, 0.44999999999999996, 0.2680003345012665
0.04, 0.33999999999999997, 0.2464030534029007
0.05, 0.33999999999999997, 0.244039386510849
0.05, 0.31999999999999995, 0.24331390857696533
0.06, 0.31999999999999995, 0.24153001606464386
0.06, 0.12, 0.1953226923942566
0.07, 0.12, 0.19450215995311737
0.07, 0.08999999999999997, 0.18439166247844696
0.09, 0.08999999999999997, 0.1770261526107788
0.09, 0.07999999999999996, 0.17701831459999084
0.1, 0.07999999999999996, 0.17375338077545166
0.1, 0.06999999999999995, 0.1734592765569687
0.11, 0.06999999999999995, 0.1684018075466156
0.11, 0.06000000000000005, 0.1648426502943039
0.12, 0.06000000000000005, 0.15936583280563354
0.12, 0.050000000000000044, 0.1545758992433548
0.15, 0.050000000000000044, 0.15204665064811707
0.15, 0.030000000000000027, 0.15084195137023926
0.18, 0.030000000000000027, 0.14740653336048126
0.18, 0.020000000000000018, 0.14476944506168365
0.24, 0.020000000000000018, 0.12990951538085938
0.24, 0.010000000000000009, 0.1292978972196579
0.35, 0.010000000000000009, 0.11741168797016144
0.35, 0.0, 0.11682296544313431
1.0, 0.0, 0.03151172026991844
