False Positive Rate(%), True Positive Rate(%), Thresholds
0.0, 0.0, inf
0.0, 0.01, 0.9693803787231445
0.01, 0.01, 0.9586308598518372
0.01, 0.14, 0.5755063891410828
0.02, 0.14, 0.5670294761657715
0.02, 0.18, 0.5297338962554932
0.03, 0.18, 0.5216342806816101
0.03, 0.28, 0.432354599237442
0.04, 0.28, 0.41193902492523193
0.04, 0.38, 0.32694265246391296
0.05, 0.38, 0.32275906205177307
0.05, 0.46, 0.2762213945388794
0.06, 0.46, 0.2723481357097626
0.06, 0.5, 0.23292937874794006
0.08, 0.5, 0.2289687991142273
0.08, 0.51, 0.22162720561027527
0.09, 0.51, 0.22095978260040283
0.09, 0.53, 0.21584206819534302
0.11, 0.53, 0.2141636610031128
0.11, 0.54, 0.2103646993637085
0.13, 0.54, 0.20408789813518524
0.13, 0.55, 0.20264385640621185
0.15, 0.55, 0.20207905769348145
0.15, 0.6, 0.1951005756855011
0.21, 0.6, 0.18148820102214813
0.21, 0.61, 0.1807594895362854
0.23, 0.61, 0.17880144715309143
0.23, 0.63, 0.17718791961669922
0.24, 0.63, 0.17537067830562592
0.24, 0.64, 0.1734299510717392
0.25, 0.64, 0.16476726531982422
0.25, 0.65, 0.16473716497421265
0.26, 0.65, 0.16430193185806274
0.26, 0.67, 0.1614733636379242
0.27, 0.67, 0.16054746508598328
0.27, 0.68, 0.152689129114151
0.29, 0.68, 0.15168695151805878
0.29, 0.69, 0.14737454056739807
0.33, 0.69, 0.1392311006784439
0.33, 0.71, 0.13433001935482025
0.35, 0.71, 0.13120076060295105
0.35, 0.72, 0.130696102976799
0.38, 0.72, 0.12338446080684662
0.38, 0.74, 0.11932845413684845
0.4, 0.74, 0.11849402636289597
0.4, 0.75, 0.11490470916032791
0.48, 0.75, 0.10085200518369675
0.48, 0.76, 0.09832597523927689
0.49, 0.76, 0.09519652277231216
0.49, 0.77, 0.09403910487890244
0.53, 0.77, 0.08951129764318466
0.53, 0.78, 0.08860291540622711
0.59, 0.78, 0.07944199442863464
0.59, 0.79, 0.07830677926540375
0.6, 0.79, 0.07770220935344696
0.6, 0.81, 0.07504792511463165
0.63, 0.81, 0.07345745712518692
0.63, 0.83, 0.07266092300415039
0.66, 0.83, 0.07113118469715118
0.66, 0.85, 0.06843458116054535
0.69, 0.85, 0.05952836945652962
0.69, 0.86, 0.059245482087135315
0.71, 0.86, 0.05631371587514877
0.71, 0.88, 0.0559028722345829
0.72, 0.88, 0.05379847064614296
0.72, 0.91, 0.05107466131448746
0.75, 0.91, 0.049650661647319794
0.75, 0.92, 0.049141354858875275
0.76, 0.92, 0.04854953661561012
0.76, 0.93, 0.04623822495341301
0.78, 0.93, 0.03996184840798378
0.78, 0.94, 0.039572689682245255
0.79, 0.94, 0.038881875574588776
0.79, 0.95, 0.03743555024266243
0.83, 0.95, 0.03516881912946701
0.83, 0.96, 0.031982626765966415
0.85, 0.96, 0.029614152386784554
0.85, 0.97, 0.028452008962631226
0.86, 0.97, 0.028016356751322746
0.86, 0.98, 0.027599144726991653
0.89, 0.98, 0.021407561376690865
0.89, 0.99, 0.020722920075058937
0.93, 0.99, 0.016165247187018394
0.93, 1.0, 0.01494579203426838
1.0, 1.0, 0.009013444185256958
