False Positive Rate(%), False Negative Rate(%), Thresholds
0.0, 1.0, inf
0.0, 0.99, 0.48951655626296997
0.0, 0.9, 0.37454402446746826
0.01, 0.9, 0.37253203988075256
0.01, 0.65, 0.2855129539966583
0.02, 0.65, 0.2832695245742798
0.02, 0.41000000000000003, 0.24235568940639496
0.03, 0.41000000000000003, 0.239076167345047
0.03, 0.4, 0.23789246380329132
0.04, 0.4, 0.2312934249639511
0.04, 0.39, 0.22749009728431702
0.05, 0.39, 0.22621159255504608
0.05, 0.25, 0.20882782340049744
0.06, 0.25, 0.2084052711725235
0.06, 0.24, 0.20721977949142456
0.07, 0.24, 0.20475952327251434
0.07, 0.22999999999999998, 0.20342470705509186
0.08, 0.22999999999999998, 0.20094947516918182
0.08, 0.18999999999999995, 0.1900714486837387
0.11, 0.18999999999999995, 0.185044065117836
0.11, 0.18000000000000005, 0.1825697124004364
0.12, 0.18000000000000005, 0.17991775274276733
0.12, 0.12, 0.16804072260856628
0.13, 0.12, 0.16790783405303955
0.13, 0.10999999999999999, 0.16774435341358185
0.15, 0.10999999999999999, 0.15938632190227509
0.15, 0.07999999999999996, 0.14791376888751984
0.16, 0.07999999999999996, 0.14720451831817627
0.16, 0.06999999999999995, 0.1470617651939392
0.18, 0.06999999999999995, 0.14232216775417328
0.18, 0.06000000000000005, 0.1400577872991562
0.22, 0.06000000000000005, 0.1360320746898651
0.22, 0.050000000000000044, 0.13567258417606354
0.36, 0.050000000000000044, 0.1214054599404335
0.36, 0.040000000000000036, 0.11993523687124252
0.37, 0.040000000000000036, 0.11978933215141296
0.37, 0.020000000000000018, 0.11710134893655777
0.44, 0.020000000000000018, 0.10688259452581406
0.44, 0.010000000000000009, 0.10443655401468277
0.52, 0.010000000000000009, 0.0958729237318039
0.52, 0.0, 0.09566410630941391
1.0, 0.0, 0.04045993089675903
